Brand,Family,Generation,Generation (Short),Artefact,Official Name,Category,Type,Release Date,Discontinued,Compatibility,Summary
Nintendo,Nintendo,Game Boy,,Game Boy Camera,Nintendo Game Boy Camera,Camera,Accessory,1998-02-21,Yes,Game Boy,The Game Boy Camera is an official Nintendo accessory designed to capture digital photos. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Game Boy,,Game Boy Printer,Nintendo Game Boy Printer,Printer,Accessory,1998-06-01,Yes,Game Boy,The Game Boy Printer is an official Nintendo accessory designed to print images and game data. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Game Boy Advance,,e-Reader,Nintendo e-Reader,Reader,Accessory,2002-09-16,Yes,Game Boy Advance,The e-Reader is an official Nintendo accessory designed to scan data cards. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Wii,,Wii Remote,Nintendo Wii Remote,Controller,Accessory,2006-11-19,No,Wii,The Wii Remote is an official Nintendo accessory designed to provide motion-controlled gameplay. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Wii,,Nunchuk,Nintendo Nunchuk,Controller,Accessory,2006-11-19,No,Wii,The Nunchuk is an official Nintendo accessory designed to extend Wii Remote controls. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Wii,,Classic Controller,Nintendo Classic Controller,Controller,Accessory,2006-11-19,Yes,Wii,The Classic Controller is an official Nintendo accessory designed to provide traditional controls. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Wii,,Wii MotionPlus,Nintendo Wii MotionPlus,Motion Accessory,Accessory,2009-06-08,Yes,Wii,The Wii MotionPlus is an official Nintendo accessory designed to improve motion accuracy. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Wii,,Wii Balance Board,Nintendo Wii Balance Board,Fitness,Accessory,2008-05-19,Yes,Wii,The Wii Balance Board is an official Nintendo accessory designed to track balance and movement. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Wii U,,Wii U GamePad,Nintendo Wii U GamePad,Controller,Accessory,2012-11-18,Yes,Wii U,The Wii U GamePad is an official Nintendo accessory designed to provide second-screen gameplay. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Nintendo Switch,,Joy-Con (L),Nintendo Joy-Con (Left),Controller,Accessory,2017-03-03,No,Nintendo Switch,The Joy-Con (L) is an official Nintendo accessory designed to provide left-hand controls. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Nintendo Switch,,Joy-Con (R),Nintendo Joy-Con (Right),Controller,Accessory,2017-03-03,No,Nintendo Switch,The Joy-Con (R) is an official Nintendo accessory designed to provide right-hand controls. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Nintendo Switch,,Nintendo Switch Pro Controller,Nintendo Switch Pro Controller,Controller,Accessory,2017-03-03,No,Nintendo Switch,The Nintendo Switch Pro Controller is an official Nintendo accessory designed to provide premium wireless gameplay. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Nintendo Switch,,Joy-Con Charging Grip,Nintendo Joy-Con Charging Grip,Charging,Accessory,2017-03-03,No,Nintendo Switch,The Joy-Con Charging Grip is an official Nintendo accessory designed to charge Joy-Con controllers while playing. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Nintendo Switch,,Poké Ball Plus,Nintendo Poké Ball Plus,Controller,Accessory,2018-11-16,No,Nintendo Switch,The Poké Ball Plus is an official Nintendo accessory designed to provide immersive Pokémon gameplay. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Nintendo Switch,,Ring-Con,Nintendo Ring-Con,Fitness,Accessory,2019-10-18,No,Nintendo Switch,The Ring-Con is an official Nintendo accessory designed to enable Ring Fit Adventure gameplay. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Nintendo Switch,,Leg Strap,Nintendo Leg Strap,Fitness,Accessory,2019-10-18,No,Nintendo Switch,The Leg Strap is an official Nintendo accessory designed to track leg movements. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Nintendo Switch 2,,Nintendo Switch 2,Nintendo Switch 2,Console,Device,2025-06-05,No,Nintendo Switch 2,The Nintendo Switch 2 is an official Nintendo gaming system that introduced new hardware capabilities and a library of first-party and third-party titles. It remains an important part of Nintendo's gaming history.
Nintendo,Nintendo,Nintendo Switch 2,,Joy-Con 2 (L),Nintendo Joy-Con 2 (Left),Controller,Accessory,2025-06-05,No,Nintendo Switch 2,The Joy-Con 2 (L) is an official Nintendo accessory designed to provide left-hand controls. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Nintendo Switch 2,,Joy-Con 2 (R),Nintendo Joy-Con 2 (Right),Controller,Accessory,2025-06-05,No,Nintendo Switch 2,The Joy-Con 2 (R) is an official Nintendo accessory designed to provide right-hand controls. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Nintendo Switch 2,,Joy-Con 2 Charging Grip,Nintendo Joy-Con 2 Charging Grip,Charging,Accessory,2025-06-05,No,Nintendo Switch 2,The Joy-Con 2 Charging Grip is an official Nintendo accessory designed to charge Joy-Con 2 controllers while playing. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Nintendo Switch 2,,Nintendo Switch 2 Pro Controller,Nintendo Switch 2 Pro Controller,Controller,Accessory,2025-06-05,No,Nintendo Switch 2,The Nintendo Switch 2 Pro Controller is an official Nintendo accessory designed to provide premium wireless gameplay. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
Nintendo,Nintendo,Nintendo Switch 2,,Nintendo Switch 2 Camera,Nintendo Switch 2 Camera,Camera,Accessory,2025-06-05,No,Nintendo Switch 2,The Nintendo Switch 2 Camera is an official Nintendo accessory designed to enable GameChat video calls. It extends the functionality of compatible Nintendo hardware while integrating seamlessly with the Nintendo ecosystem.
