Brand,Family,Generation,Generation (Short),Artefact,Official Name,Category,Type,Release Date,Discontinued,Compatibility,Summary
Sony,PlayStation,PlayStation 3,PS3,PlayStation 3 Super Slim,Sony PlayStation 3 Super Slim,Console,Device,2012,Yes,PlayStation 3,The PlayStation 3 Super Slim is an official Sony PlayStation console that formed part of the PlayStation family. It introduced new hardware capabilities and a library of exclusive and third-party games while remaining one of the defining systems of its generation.
Sony,PlayStation,PlayStation 3,PS3,Blu-ray Disc Remote (PlayStation 3),Sony Blu-ray Disc Remote (PlayStation 3),Media,Accessory,2006,Yes,PlayStation 3,The Blu-ray Disc Remote (PlayStation 3) is an official PlayStation media accessory designed to enhance entertainment features such as movie playback and streaming. It provides dedicated controls and seamless integration with supported PlayStation consoles.
Sony,PlayStation,PlayStation 4,PS4,PlayStation 4,Sony PlayStation 4,Console,Device,2013,Yes,PlayStation 4,The PlayStation 4 is an official Sony PlayStation console that formed part of the PlayStation family. It introduced new hardware capabilities and a library of exclusive and third-party games while remaining one of the defining systems of its generation.
Sony,PlayStation,PlayStation 4,PS4,DualShock 4 Wireless Controller,Sony DualShock 4 Wireless Controller,Controller,Accessory,2013,Yes,PlayStation 4,The DualShock 4 Wireless Controller is an official PlayStation controller designed to provide responsive and comfortable gameplay. It introduced features appropriate to its generation while maintaining compatibility with supported PlayStation hardware.
Sony,PlayStation,PlayStation 4,PS4,PlayStation Camera,Sony PlayStation Camera,Camera,Accessory,2013,Yes,PlayStation 4,The PlayStation Camera is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation 4,PS4,PlayStation VR Processor Unit,Sony PlayStation VR Processor Unit,VR,Accessory,2016,Yes,PlayStation 4,The PlayStation VR Processor Unit is an official PlayStation virtual reality accessory that delivers immersive gaming experiences through head tracking and dedicated controllers. It expands the PlayStation ecosystem with VR gameplay.
Sony,PlayStation,PlayStation 4,PS4,PlayStation VR Aim Controller,Sony PlayStation VR Aim Controller,Controller,Accessory,2017,Yes,PlayStation 4,The PlayStation VR Aim Controller is an official PlayStation controller designed to provide responsive and comfortable gameplay. It introduced features appropriate to its generation while maintaining compatibility with supported PlayStation hardware.
Sony,PlayStation,PlayStation 4,PS4,PlayStation 4 Slim,Sony PlayStation 4 Slim,Console,Device,2016,Yes,PlayStation 4,The PlayStation 4 Slim is an official Sony PlayStation console that formed part of the PlayStation family. It introduced new hardware capabilities and a library of exclusive and third-party games while remaining one of the defining systems of its generation.
Sony,PlayStation,PlayStation 4,PS4,PlayStation 4 Pro,Sony PlayStation 4 Pro,Console,Device,2016,Yes,PlayStation 4,The PlayStation 4 Pro is an official Sony PlayStation console that formed part of the PlayStation family. It introduced new hardware capabilities and a library of exclusive and third-party games while remaining one of the defining systems of its generation.
Sony,PlayStation,PlayStation 4,PS4,PlayStation Media Remote (PlayStation 4),Sony PlayStation Media Remote (PlayStation 4),Media,Accessory,2015,Yes,PlayStation 4,The PlayStation Media Remote (PlayStation 4) is an official PlayStation media accessory designed to enhance entertainment features such as movie playback and streaming. It provides dedicated controls and seamless integration with supported PlayStation consoles.
Sony,PlayStation,PlayStation 5,PS5,PlayStation 5 (Disc Edition),Sony PlayStation 5 Disc Edition,Console,Device,2020,Yes,PlayStation 5,"The PlayStation 5 Disc Edition is Sony's original ninth-generation home console featuring an Ultra HD Blu-ray Disc drive. It introduced a custom ultra-high-speed SSD, hardware-accelerated ray tracing, Tempest 3D AudioTech, and support for up to 120 FPS gameplay. The built-in disc drive allows players to enjoy both physical and digital games while also serving as a 4K Ultra HD Blu-ray player. Production ended after the launch of the redesigned PlayStation 5 Slim models."
Sony,PlayStation,PlayStation 5,PS5,Access Controller,Sony Access Controller,Controller,Accessory,2023,No,PlayStation 5,The Access Controller is an official PlayStation controller designed to provide responsive and comfortable gameplay. It introduced features appropriate to its generation while maintaining compatibility with supported PlayStation hardware.
Sony,PlayStation,PlayStation 5,PS5,DualSense Edge Controller,Sony DualSense Edge Controller,Controller,Accessory,2023,No,PlayStation 5,The DualSense Edge Controller is an official PlayStation controller designed to provide responsive and comfortable gameplay. It introduced features appropriate to its generation while maintaining compatibility with supported PlayStation hardware.
Sony,PlayStation,PlayStation 5,PS5,PlayStation VR2 Headset,Sony PlayStation VR2 Headset,VR,Accessory,2023,No,PlayStation 5,The PlayStation VR2 Headset is an official PlayStation virtual reality accessory that delivers immersive gaming experiences through head tracking and dedicated controllers. It expands the PlayStation ecosystem with VR gameplay.
Sony,PlayStation,PlayStation 5,PS5,PlayStation VR2 Sense Controller (Left),Sony PlayStation VR2 Sense Controller (Left),Controller,Accessory,2023,No,PlayStation 5,The PlayStation VR2 Sense Controller (Left) is an official PlayStation controller designed to provide responsive and comfortable gameplay. It introduced features appropriate to its generation while maintaining compatibility with supported PlayStation hardware.
Sony,PlayStation,PlayStation 5,PS5,PlayStation VR2 Sense Controller (Right),Sony PlayStation VR2 Sense Controller (Right),Controller,Accessory,2023,No,PlayStation 5,The PlayStation VR2 Sense Controller (Right) is an official PlayStation controller designed to provide responsive and comfortable gameplay. It introduced features appropriate to its generation while maintaining compatibility with supported PlayStation hardware.
Sony,PlayStation,PlayStation 5,PS5,PlayStation Portal,Sony PlayStation Portal,Handheld,Device,2023,No,PlayStation 5,The PlayStation Portal is an official Sony handheld gaming system designed to deliver a portable PlayStation experience. It combines dedicated gaming hardware with multimedia capabilities and access to a wide library of games.
Sony,PlayStation,PlayStation 5,PS5,PlayStation Media Remote (PlayStation 5),Sony PlayStation Media Remote (PlayStation 5),Media,Accessory,2020,No,PlayStation 5,The PlayStation Media Remote (PlayStation 5) is an official PlayStation media accessory designed to enhance entertainment features such as movie playback and streaming. It provides dedicated controls and seamless integration with supported PlayStation consoles.
Sony,PlayStation,PlayStation 5,PS5,DualSense Charging Station,Sony DualSense Charging Station,Charging,Accessory,2020,No,PlayStation 5,The DualSense Charging Station is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation 5,PS5,PlayStation VR2 Sense Controller Charging Station,Sony PlayStation VR2 Sense Controller Charging Station,Charging,Accessory,2023,No,PlayStation 5,The PlayStation VR2 Sense Controller Charging Station is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation 5,PS5,PULSE 3D Wireless Headset,Sony PULSE 3D Wireless Headset,Audio,Accessory,2020,No,PlayStation 5,The PULSE 3D Wireless Headset is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation 5,PS5,PULSE Elite Wireless Headset,Sony PULSE Elite Wireless Headset,Audio,Accessory,2024,No,PlayStation 5,The PULSE Elite Wireless Headset is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation 5,PS5,PULSE Explore Wireless Earbuds,Sony PULSE Explore Wireless Earbuds,Audio,Accessory,2023,No,PlayStation 5,The PULSE Explore Wireless Earbuds is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation 5,PS5,HD Camera,Sony HD Camera,Camera,Accessory,2020,No,PlayStation 5,The HD Camera is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation 5,PS5,PlayStation 5 Digital Edition,Sony PlayStation 5 Digital Edition,Console,Device,2020,Yes,PlayStation 5,The PlayStation 5 Digital Edition is the disc-free version of Sony's original PlayStation 5. It delivers identical gaming performance to the Disc Edition but relies entirely on digital downloads and the PlayStation Store for software purchases. The streamlined design appealed to players embracing an all-digital library. Production ended following the introduction of the PlayStation 5 Slim Digital Edition.
Sony,PlayStation,PlayStation 5,PS5,PlayStation 5 Slim (Disc Edition),Sony PlayStation 5 Slim Disc Edition,Console,Device,2023,No,PlayStation 5,"The PlayStation 5 Slim Disc Edition is a redesigned, smaller version of the PlayStation 5 featuring the same performance as the original model in a more compact chassis. It includes a detachable Ultra HD Blu-ray Disc drive, increased internal storage, and improved serviceability while maintaining full compatibility with the PlayStation 5 ecosystem. It is the standard retail PlayStation 5 model sold by Sony today."
Sony,PlayStation,PlayStation 5,PS5,PlayStation 5 Slim Digital Edition,Sony PlayStation 5 Slim Digital Edition,Console,Device,2023,No,PlayStation 5,The PlayStation 5 Slim Digital Edition is the all-digital version of the redesigned PlayStation 5. It features the same compact hardware and upgraded internal storage as the Slim Disc Edition but ships without a disc drive. Players can later purchase and attach Sony's official Disc Drive accessory if they wish to use physical games and Blu-ray movies.
Sony,PlayStation,PlayStation 5,PS5,PlayStation 5 Pro,Sony PlayStation 5 Pro,Console,Device,2024,No,PlayStation 5,"The PlayStation 5 Pro is Sony's premium ninth-generation console designed to deliver enhanced graphics performance and more consistent high frame rates than the standard PlayStation 5. It introduces a larger GPU, advanced ray tracing capabilities, AI-driven PlayStation Spectral Super Resolution (PSSR), and improved rendering performance while remaining fully compatible with the existing PlayStation 5 game library. Unlike previous PlayStation models, it ships without a disc drive, which can be added separately using Sony's optional Disc Drive accessory."
Sony,PlayStation,PlayStation 5,PS5,PlayStation Disc Drive,Sony PlayStation Disc Drive,Optical Drive,Accessory,2023,No,"PlayStation 5 Slim Digital Edition, PlayStation 5 Pro","The PlayStation Disc Drive is an official detachable Ultra HD Blu-ray Disc drive developed by Sony for the PlayStation 5 Slim Digital Edition and PlayStation 5 Pro. It enables playback of physical PlayStation 5 and supported PlayStation 4 game discs, as well as Ultra HD Blu-ray, Blu-ray, and DVD movies. The drive connects seamlessly to compatible consoles, allowing players to add physical media support to otherwise digital-only systems without replacing the console."
Sony,PlayStation,PlayStation Portable,PSP,PlayStation Portable,Sony PlayStation Portable,Handheld,Device,2004,Yes,PlayStation Portable,The PlayStation Portable is an official Sony handheld gaming system designed to deliver a portable PlayStation experience. It combines dedicated gaming hardware with multimedia capabilities and access to a wide library of games.
Sony,PlayStation,PlayStation Portable,PSP,PlayStation Portable UMD,Sony PlayStation Portable UMD,Media,Accessory,2004,Yes,PlayStation Portable,The PlayStation Portable UMD is an official PlayStation media accessory designed to enhance entertainment features such as movie playback and streaming. It provides dedicated controls and seamless integration with supported PlayStation consoles.
Sony,PlayStation,PlayStation Portable,PSP,PlayStation Portable Camera,Sony PlayStation Portable Camera,Camera,Accessory,2006,Yes,PlayStation Portable,The PlayStation Portable Camera is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation Portable,PSP,PlayStation Portable GPS Receiver,Sony PlayStation Portable GPS Receiver,Accessory,Accessory,2006,Yes,PlayStation Portable,The PlayStation Portable GPS Receiver is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation Portable,PSP,PlayStation Portable Microphone,Sony PlayStation Portable Microphone,Audio,Accessory,2008,Yes,PlayStation Portable,The PlayStation Portable Microphone is an official PlayStation accessory designed to extend the functionality of supported PlayStation hardware. It forms part of Sony's first-party ecosystem.
Sony,PlayStation,PlayStation Portable,PSP,PSPgo,Sony PSPgo,Handheld,Device,2009,Yes,PlayStation Portable,The PSPgo is an official Sony handheld gaming system designed to deliver a portable PlayStation experience. It combines dedicated gaming hardware with multimedia capabilities and access to a wide library of games.
Sony,PlayStation,PlayStation 5,PS5,DualSense Wireless Controller,Sony DualSense Wireless Controller,Controller,Accessory,2020,No,"PlayStation 5, PC, Mac, Android, iOS, iPadOS","The DualSense Wireless Controller is Sony's standard controller for the PlayStation 5 and one of the console's defining innovations. It introduced advanced haptic feedback, adaptive triggers, an integrated microphone, a built-in speaker, motion sensing, and a redesigned ergonomic form factor that significantly enhances immersion during gameplay. In addition to the PlayStation 5, the controller is compatible with PC, Mac, and supported Android and Apple devices via USB or Bluetooth, making it one of Sony's most versatile first-party accessories."
Sony,PlayStation,PlayStation 5,PS5,PlayStation Link USB Adapter,Sony PlayStation Link USB Adapter,Accessory,Accessory,2023,No,"PlayStation 5, PC, Mac, PULSE Elite Wireless Headset, PULSE Explore Wireless Earbuds","The PlayStation Link USB Adapter is Sony's official wireless USB transmitter for devices that support PlayStation Link technology. It delivers ultra-low latency, lossless wireless audio between compatible PlayStation Link accessories and supported devices, providing a stable, high-quality audio experience for gaming and voice communication. Multiple adapters can be paired with the same compatible headset or earbuds, allowing users to switch seamlessly between devices such as a PlayStation 5 and a PC."
