Brand,Family,Generation,Generation (Short),Artefact,Official Name,Category,Type,Release Date,Discontinued,Compatibility,Summary
Sega,Sega,Dreamcast,DC,Dreamcast,Sega Dreamcast,Console,Device,1998-11-27,Yes,Dreamcast,The Sega Dreamcast is an official Sega console that introduced new hardware capabilities and a library of first- and third-party titles. It remains an important part of Sega's gaming history.
Sega,Sega,Master System,SMS,Master System Control Pad,Sega Master System Control Pad,Controller,Accessory,1985,Yes,Master System,The Sega Master System Control Pad is an official Sega controller designed to provide responsive directional gameplay. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Master System,SMS,Light Phaser,Sega Light Phaser,Light Gun,Accessory,1986,Yes,Master System,The Sega Light Phaser is an official Sega accessory designed to provide light-gun gameplay. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Master System,SMS,SegaScope 3-D Glasses,Sega SegaScope 3-D Glasses,Accessory,Accessory,1987,Yes,Master System,The Sega SegaScope 3-D Glasses is an official Sega accessory designed to enable stereoscopic 3D gameplay. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Mega Drive,MD,Genesis/Mega Drive Control Pad,Sega Genesis/Mega Drive Control Pad,Controller,Accessory,1988,Yes,"Genesis, Mega Drive",The Sega Genesis/Mega Drive Control Pad is an official Sega controller designed to provide responsive three-button gameplay. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Mega Drive,MD,6-Button Arcade Pad,Sega 6-Button Arcade Pad,Controller,Accessory,1993,Yes,"Genesis, Mega Drive",The Sega 6-Button Arcade Pad is an official Sega controller designed to provide precise six-button arcade-style gameplay. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Mega Drive,MD,Menacer,Sega Menacer,Light Gun,Accessory,1992,Yes,"Genesis, Mega Drive",The Sega Menacer is an official Sega accessory designed to provide wireless light-gun gameplay. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Mega Drive,MD,Activator,Sega Activator,Motion Sensor,Accessory,1993,Yes,"Genesis, Mega Drive",The Sega Activator is an official Sega accessory designed to translate full-body movement into gameplay input. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Mega Drive,MD,Power Base Converter,Sega Power Base Converter,Adapter,Accessory,1989,Yes,"Genesis, Mega Drive",The Sega Power Base Converter is an official Sega accessory designed to play Master System cartridges on Genesis and Mega Drive consoles. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Game Gear,GG,Game Gear TV Tuner,Sega Game Gear TV Tuner,Media,Accessory,1991,Yes,Game Gear,The Sega Game Gear TV Tuner is an official Sega accessory designed to receive live television broadcasts on the go. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Saturn,,Saturn Control Pad,Sega Saturn Control Pad,Controller,Accessory,1994,Yes,Saturn,The Sega Saturn Control Pad is an official Sega controller designed to provide responsive digital gameplay. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Saturn,,Saturn 3D Control Pad,Sega Saturn 3D Control Pad,Controller,Accessory,1996,Yes,Saturn,The Sega Saturn 3D Control Pad is an official Sega controller designed to provide analog gameplay for 3D titles. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Saturn,,Saturn Mouse,Sega Saturn Mouse,Input,Accessory,1995,Yes,Saturn,The Sega Saturn Mouse is an official Sega accessory designed to provide precise cursor control. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Saturn,,Saturn NetLink,Sega Saturn NetLink,Networking,Accessory,1996,Yes,Saturn,The Sega Saturn NetLink is an official Sega accessory designed to provide dial-up internet and online multiplayer access. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Saturn,,Saturn Memory Cartridge,Sega Saturn Memory Cartridge,Storage,Accessory,1996,Yes,Saturn,The Sega Saturn Memory Cartridge is an official Sega accessory designed to expand save data storage and enable backup memory. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Dreamcast,DC,Dreamcast Controller,Sega Dreamcast Controller,Controller,Accessory,1998,Yes,Dreamcast,The Sega Dreamcast Controller is an official Sega controller designed to provide responsive gameplay with a built-in expansion slot. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Dreamcast,DC,VMU,Sega Dreamcast VMU,Storage,Accessory,1998,Yes,Dreamcast,The Sega Dreamcast VMU is an official Sega accessory designed to store save data and display extra gameplay information on its built-in screen. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Dreamcast,DC,Jump Pack,Sega Dreamcast Jump Pack,Controller Accessory,Accessory,1999,Yes,Dreamcast,The Sega Dreamcast Jump Pack is an official Sega accessory designed to add force feedback vibration to the controller. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Dreamcast,DC,Arcade Stick,Sega Dreamcast Arcade Stick,Controller,Accessory,1999,Yes,Dreamcast,The Sega Dreamcast Arcade Stick is an official Sega controller designed to provide arcade-accurate joystick gameplay. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Dreamcast,DC,Keyboard,Sega Dreamcast Keyboard,Input,Accessory,1999,Yes,Dreamcast,The Sega Dreamcast Keyboard is an official Sega accessory designed to provide text input for online and chat features. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
Sega,Sega,Dreamcast,DC,Mouse,Sega Dreamcast Mouse,Input,Accessory,1999,Yes,Dreamcast,The Sega Dreamcast Mouse is an official Sega accessory designed to provide precise cursor control. It extends the functionality of compatible Sega hardware while integrating seamlessly with the Sega ecosystem.
